# CFB Rankings Export
# Generated: 2025-06-05T06:08:06.680991
# Season: 2024
# Week: 1
# Neutrality Metric: 0.0001
#
rank_live,team,conference,rating_live,delta_rank,conf_weight,quality_wins
132,Western Carolina,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
133,UAlbany,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
134,Middle Tennessee,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
135,St. Francis (PA),Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
136,Clarion,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
137,Penn State,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
138,Murray State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
139,Ohio State,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
140,Rutgers,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
141,ERSKINE,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
142,Arizona State,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
143,Mercer,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
144,South Carolina,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
145,Navy,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
146,Vanderbilt,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
147,Winston-Salem,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
148,Mars Hill,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
149,Bluefield State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
150,Bryant,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
151,Washburn,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
152,Eastern Kentucky,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
153,Mississippi Valley State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
154,Texas A&M-Kingsville,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
155,Charlotte,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
156,Colgate,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
157,Coastal Carolina,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
158,Liberty,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
159,West Virginia,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
160,Tennessee State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
161,Iowa,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
162,Northwest Missouri St,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
163,Northwestern State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
164,Miles College,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
165,Western Michigan,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
166,Miami (OH),Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
167,Northern Colorado,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
168,Fordham,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
169,Notre Dame,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
170,Chattanooga,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
171,Alabama State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
172,Lehigh,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
173,Virginia St,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
174,East Tennessee State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
175,Jamestown College,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
176,Midwestern State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
177,Arkansas-Pine Bluff,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
178,Northeastern State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
179,Morehead State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
180,Utah State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
181,NC State,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
182,Florida International,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
183,Campbell,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
184,Purdue,Big Ten,0.0029498525073746312,0,0.1448460148556609,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
185,USC,Pac-12,0.0029498525073746312,0,0.00809148402623448,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
186,Wingate,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
187,Lindenwood,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
188,CSU Pueblo,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
189,Upper Iowa University,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
190,Missouri,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
191,Arkansas,SEC,0.0029498525073746312,0,0.14172402933986208,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
192,Fairmont State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
193,Kennesaw State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
194,Kansas,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
195,Howard,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
196,Ave Maria University,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
197,Eastern New Mexico,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
198,Maine,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
199,Buffalo,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
200,Southern Illinois,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
201,Austin Peay,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
202,Northern Illinois,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
203,Syracuse,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
204,Fort Lewis,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
205,Wyoming,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
206,Eastern Michigan,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
207,Wheeling,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
208,Stony Brook,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
209,Central State (OH),Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
210,Iowa State,Big 12,0.0029498525073746312,0,0.08144837743725496,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
211,Pittsburgh,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
212,Walsh,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
213,Seton Hill,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
214,Duke,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
215,Minnesota Duluth,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
216,UAB,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
217,West Virginia Wesleyan,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
218,Missouri Western,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
219,Western Illinois,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
220,Nicholls,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
221,Chadron St,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
222,Northern Iowa,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
223,James Madison,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
224,Pittsburg St,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
225,Shaw,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
226,North Dakota,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
227,Georgia Southern,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
228,Virginia,ACC,0.0029498525073746312,0,0.19120290003946264,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
229,San Diego State,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
230,UTEP,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
231,Cincinnati,Independent,0.0029498525073746312,0,0.5,"['SMU', ""Hawai'i"", 'Lincoln (CA)']"
